years_experience,avg_weekly_hours,annual_salary_usd
1,38,41850
1,40,43200
1,42,44500
2,39,45800
2,41,47200
2,43,48650
3,38,50200
3,40,51800
3,42,53500
4,40,55200
4,42,56900
4,44,58700
5,41,60500
5,43,62400
5,45,64300
6,42,66200
6,44,68100
6,46,70100
7,43,72200
7,45,74300
7,47,76500
8,44,78700
8,46,80900
8,48,83200
9,45,85600
9,47,87900
9,49,90300
10,46,92800
10,48,95200
10,50,97700
11,46,100200
11,48,102800
11,50,105500
12,47,108300
12,49,111100
12,51,114000
13,48,117000
13,50,120100
13,52,123300
14,48,126600
14,50,129900
14,52,133300
15,49,136800
15,51,140400
15,53,144100
16,50,147900
16,52,151800
16,54,155800
17,50,159900
17,52,164100
17,54,168400
18,51,172800
18,53,177300
18,55,181900
19,52,186600
19,54,191400
19,56,196300
20,53,201300
20,55,206400
20,57,211600
21,54,216900
21,56,222300
21,58,227800
22,55,233400
22,57,239100
22,59,244900
23,56,250800
23,58,256800
23,60,262900
24,57,269100
24,59,275400
24,61,281800
25,58,288300
25,60,294900
25,62,301600
26,59,308400
26,61,315300
26,63,322300
27,60,329400
27,62,336600
27,64,343900
28,61,351300
28,63,358800
28,65,366400
29,62,374100
29,64,381900
29,66,389800
30,63,397800
30,65,405900
30,67,414100
